Tanggal;Terakhir;Pembukaan;Tertinggi;Terendah;Vol.;Perubahan%
29/05/2024;17823;18040;18043;17808;;-1,48%
28/05/2024;18090;18460;18595;18050;680;-1,36%
24/05/2024;18340;18460;18485;18300;590;-0,78%
23/05/2024;18485;18815;19005;18380;520;-1,41%
22/05/2024;18750;18580;18800;18565;340;0,86%
21/05/2024;18590;18830;18835;18565;330;-1,38%
20/05/2024;18850;18770;18865;18700;330;0,51%
17/05/2024;18755;19090;19145;18725;290;-1,81%
16/05/2024;19100;19035;19180;18830;270;-0,05%
15/05/2024;19110;18900;19160;18730;270;2,11%
14/05/2024;18715;18648;18930;18558;;0,05%
13/05/2024;18705;19250;19250;19250;10;-2,86%
10/05/2024;19255;18760;18840;18760;0;3,05%
09/05/2024;18685;18440;19005;18440;;2,02%
08/05/2024;18315;18400;18483;18395;;0,11%
07/05/2024;18295;18405;18405;18405;0;-0,60%
06/05/2024;18405;18400;18420;18180;10;-1,79%
03/05/2024;18740;18650;18650;18650;0;3,14%
02/05/2024;18170;18445;18445;18300;10;-4,22%
01/05/2024;18970;19085;19165;19085;20;0,42%
30/04/2024;18890;19105;19150;18850;150;-1,10%
