Tanggal;Terakhir;Pembukaan;Tertinggi;Terendah
14/08/2024;14910;14845;14970;14790
13/08/2024;14828;14515;14973;14505
12/08/2024;14535;14800;14800;14520
09/08/2024;14835;14955;15080;14810
08/08/2024;14995;15100;15180;14900
07/08/2024;15155;15225;15235;15070
06/08/2024;15200;15155;15250;15090
05/08/2024;15275;14940;15350;14900
02/08/2024;14945;15060;15065;14935
01/08/2024;15070;15215;15380;14805
31/07/2024;15250;15135;15310;15045
30/07/2024;15235;15175;15260;15100
29/07/2024;15210;15100;15260;15010
26/07/2024;15235;14995;15245;14915
25/07/2024;15010;14790;15045;14725
24/07/2024;14790;14690;15055;14650
23/07/2024;14730;14550;14800;14475
22/07/2024;14600;14265;14860;14265
19/07/2024;14240;14270;14315;14150
18/07/2024;14290;14460;14480;14270
17/07/2024;14430;14425;14565;14395
16/07/2024;14405;14700;14775;14395
15/07/2024;14700;14640;14895;14555
12/07/2024;19550;18610;19620;18595
11/07/2024;17550;14645;14737;14567
10/07/2024;17205;17480;17480;17480
09/07/2024;17105;14790;14920;14595
08/07/2024;17065;17005;17010;17000
05/07/2024;16935;15005;15085;14545
03/07/2024;16930;15055;15100;14985
02/07/2024;16920;16955;16960;16955
01/07/2024;16955;16990;16990;16990
28/06/2024;16965;16955;17200;16950
27/06/2024;16755;18255;18310;16700
26/06/2024;17800;18445;18885;17625
25/06/2024;18610;18590;18620;18420
24/06/2024;18515;18200;18655;18195
21/06/2024;18200;18000;18230;17970
20/06/2024;17995;18100;18160;17965
18/06/2024;18160;17680;18200;17640
17/06/2024;17685;18180;18270;17605
14/06/2024;18185;18640;18725;18110
13/06/2024;18545;18225;18615;18180
12/06/2024;18225;17560;18385;17560
11/06/2024;17545;17780;17800;17525
10/06/2024;17720;18280;18280;17630
07/06/2024;18170;18195;18615;17960
06/06/2024;18260;17450;18500;17435
05/06/2024;17415;17595;17730;17410
04/06/2024;17575;17580;17800;17510
03/06/2024;17500;17725;17750;17480
31/05/2024;17670;17810;17935;17660
30/05/2024;17830;17820;17910;17730
29/05/2024;17840;18080;18140;17810
28/05/2024;18090;18460;18595;18050
24/05/2024;18340;18460;18485;18300
23/05/2024;18485;18815;19005;18380
22/05/2024;18750;18580;18800;18565
21/05/2024;18590;18830;18835;18565
20/05/2024;18850;18770;18865;18700
17/05/2024;18755;19090;19145;18725
16/05/2024;19100;19035;19180;18830
15/05/2024;19110;18900;19160;18730
14/05/2024;18715;18648;18930;18558
13/05/2024;18705;19250;19250;19250
10/05/2024;19255;18760;18840;18760
09/05/2024;18685;18440;19005;18440
08/05/2024;18315;18400;18483;18395
07/05/2024;18295;18405;18405;18405
06/05/2024;18405;18400;18420;18180
03/05/2024;18740;18650;18650;18650
02/05/2024;18170;18445;18445;18300
01/05/2024;18970;19085;19165;19085
30/04/2024;18890;19105;19150;18850
29/04/2024;19100;18905;19135;18900
26/04/2024;18810;19045;19160;18770
25/04/2024;19085;19170;19210;18900
24/04/2024;19200;18995;19220;18955
23/04/2024;19195;18995;19250;18900
22/04/2024;18965;18890;19205;18500
19/04/2024;19000;19035;19360;18805
18/04/2024;19015;18795;19065;18750
17/04/2024;18830;18385;18950;18370
16/04/2024;18365;18420;18920;18200
15/04/2024;18330;17250;18330;17250
12/04/2024;17230;16860;17380;16695
11/04/2024;16870;17080;17250;16745
10/04/2024;17150;16680;17480;16615
09/04/2024;16615;16070;16650;16065
08/04/2024;16115;16230;16325;16060
05/04/2024;16160;16235;16340;16155
04/04/2024;16200;16390;16500;16180
03/04/2024;16510;16150;16595;16015
02/04/2024;16080;16370;16370;16060
01/04/2024;16295;16390;16495;16260
28/03/2024;16360;16610;16715;16335
27/03/2024;16585;16790;16800;16565
26/03/2024;16800;17180;17180;16775
25/03/2024;17045;17345;17440;16850
22/03/2024;17345;17535;17575;17340
21/03/2024;17515;17685;17685;17505
20/03/2024;17695;17725;17730;17680
19/03/2024;17730;17780;17840;17705
18/03/2024;17770;17850;17850;17740
15/03/2024;17820;17865;17885;17810
14/03/2024;17535;17970;18000;17850
13/03/2024;17615;17860;17990;17835
12/03/2024;17500;17915;17920;17830
11/03/2024;17445;17880;18000;17820
08/03/2024;17510;17850;18010;17775
07/03/2024;17440;17525;17525;17525
06/03/2024;17545;17700;17700;17635
05/03/2024;17720;17930;17930;17930
04/03/2024;17945;18185;18185;18185
01/03/2024;18220;18260;18645;18185
29/02/2024;17870;17900;17930;17900
28/02/2024;17940;18030;18065;17875
27/02/2024;17985;18255;18255;17870
26/02/2024;18280;18520;18590;18225
23/02/2024;18600;18515;18725;18135
22/02/2024;18520;18285;18615;17920
21/02/2024;18245;18180;18315;18100
20/02/2024;18175;18320;18410;18080
16/02/2024;18320;18560;18655;18250
15/02/2024;18630;18620;18895;18495
14/02/2024;18620;18330;18740;18310
13/02/2024;18365;18575;18740;18300
12/02/2024;18625;18880;19190;18550
09/02/2024;18920;18655;18975;18655
08/02/2024;18650;18445;18695;18445
07/02/2024;18485;18530;18580;18360
06/02/2024;18575;18340;18580;18340
05/02/2024;18310;18395;18455;18260
02/02/2024;18435;18080;18480;18080
01/02/2024;18105;18030;18190;17885
31/01/2024;17865;18140;18275;17850
30/01/2024;18175;18080;18295;17950
29/01/2024;18090;17955;18170;17905
26/01/2024;17985;17960;18015;17870
25/01/2024;17965;17780;18060;17720
24/01/2024;17775;17450;17800;17450
23/01/2024;17435;17555;17560;17420
22/01/2024;17555;17685;17690;17510
19/01/2024;17635;17625;17720;17555
18/01/2024;17600;17600;17730;17575
17/01/2024;17645;17540;17690;17540
16/01/2024;17555;17670;17745;17505
12/01/2024;17235;17170;17220;17170
11/01/2024;17160;17200;17200;17135
10/01/2024;17130;17200;17230;17075
09/01/2024;17225;17105;17105;17090
08/01/2024;17130;17030;17045;17030
05/01/2024;17250;16975;16975;16905
04/01/2024;16925;16970;16970;16840
03/01/2024;16920;17635;17680;16940
02/01/2024;17630;17500;17655;17315
29/12/2023;17305;17170;17390;17170
28/12/2023;17150;17250;17250;17080
27/12/2023;17260;17325;17380;17230
26/12/2023;17330;17435;17435;17300
22/12/2023;17390;17310;17440;17285
21/12/2023;17330;17300;17420;17300
20/12/2023;17355;17275;17375;17235
19/12/2023;17235;17330;17430;17170
18/12/2023;17385;17150;17440;17105
15/12/2023;17120;17150;17240;17015
14/12/2023;17105;17040;17190;16945
13/12/2023;16940;16875;17080;16825
12/12/2023;16890;17010;17040;16865
11/12/2023;17090;17060;17150;16880
08/12/2023;17040;17185;17300;17010
07/12/2023;17080;16950;17340;16825
06/12/2023;16950;16830;17000;16805
05/12/2023;16810;16905;17040;16800
04/12/2023;16900;17145;17195;16880
01/12/2023;17185;17355;17375;17170
30/11/2023;17345;17395;17575;17285
29/11/2023;17410;17370;17445;17290
